City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Port Hedland,AU,-20.3167,118.5667,93.25,46,34,19.57,scattered clouds
316,San Carlos De Bariloche,AR,-41.1456,-71.3082,69.55,37,0,17.27,clear sky
317,Klaksvik,FO,62.2266,-6.589,32.92,65,100,28.66,overcast clouds
318,Lagoa,PT,39.05,-27.9833,56.64,59,100,4.38,overcast clouds
319,Wasilla,US,61.5814,-149.4394,33.78,90,100,1.01,light snow
320,Wanning,CN,18.8003,110.3967,68.18,90,100,10.98,overcast clouds
321,Noumea,NC,-22.2763,166.4572,91.38,99,100,13.4,overcast clouds
322,Cabo San Lucas,MX,22.8909,-109.9124,76.51,52,100,1.99,overcast clouds
323,Fergus Falls,US,46.283,-96.0776,7.86,81,100,19.57,mist
324,Ayr,GB,55.4627,-4.6339,42.75,93,100,4.61,light rain
325,Cherskiy,RU,68.75,161.3,-22.76,97,95,6.67,overcast clouds
326,Vestmanna,FO,62.1564,-7.1664,31.12,64,100,10.36,overcast clouds
327,Tarakan,ID,3.3,117.6333,81.9,78,20,3.44,few clouds
328,Saint-Augustin,CA,51.226,-58.6502,-19.86,93,42,6.33,scattered clouds
329,San Jose,US,37.3394,-121.895,77.68,44,75,6.91,broken clouds
330,Genhe,CN,50.7833,121.5167,-5.4,91,100,2.13,overcast clouds
331,Zanjan,IR,36.6736,48.4787,24.62,87,79,6.78,broken clouds
332,Juneau,US,58.3019,-134.4197,37.45,94,100,0.0,overcast clouds
333,Lata,PT,40.1629,-8.3327,53.82,93,15,2.24,few clouds
334,Toora-Khem,RU,52.4675,96.11,-32.51,100,70,0.92,broken clouds
335,Kroya,ID,-7.6331,109.2461,85.19,80,76,2.89,broken clouds
336,Madang,PG,-5.2246,145.7966,83.41,75,65,1.12,broken clouds
337,Nanortalik,GL,60.1432,-45.2371,22.44,93,100,26.8,snow
338,Mantua,IT,45.1667,10.7833,39.43,77,52,1.99,broken clouds
339,Matagami,CA,49.7502,-77.6328,-20.09,76,0,0.0,clear sky
340,Pozoblanco,ES,38.3791,-4.8483,48.78,96,84,4.94,broken clouds
341,Waipawa,NZ,-41.4122,175.5153,59.45,68,100,13.0,overcast clouds
342,Tocopilla,CL,-22.092,-70.1979,70.68,71,27,7.9,scattered clouds
